,geoid,num_surveys,detectors_found_total,detectors_found_prc,detectors_found_CI,detectors_working_total,detectors_working_prc,detectors_working_CI,geography
0,#_#_010139534001,39.0,18.0,46.15,15.645969321202186,12.0,30.77,14.485539735180295,block_group
1,#_#_010139534002,48.0,19.0,39.58,13.834507657303892,8.0,16.67,10.543964705144518,block_group
2,#_#_010730023034,44.0,34.0,77.27,12.383257593291766,19.0,43.18,14.635975263463902,block_group
3,#_#_010730035002,32.0,18.0,56.25,17.188238620492793,8.0,25.0,15.003124674546966,block_group
4,#_#_010730035003,34.0,23.0,67.65,15.724891437014195,11.0,32.35,15.724891437014195,block_group
5,#_#_010730039001,41.0,20.0,48.78,15.300471985833255,9.0,21.95,12.669744560152433,block_group
6,#_#_010730109004,41.0,15.0,36.59,14.744302224050697,8.0,19.51,12.13008213013838,block_group
7,#_#_010730118031,43.0,32.0,74.42,13.041181717891586,14.0,32.56,14.006280593080128,block_group
8,#_#_010730129071,32.0,31.0,96.88,6.023867966680549,21.0,65.62,16.45705541037035,block_group
9,#_#_010810411002,52.0,10.0,19.23,10.711963473109435,4.0,7.69,7.241723602526171,block_group
10,#_#_010810418001,46.0,17.0,36.96,13.949262244353251,8.0,17.39,10.953256490790466,block_group
11,#_#_010890102001,33.0,10.0,30.3,15.679665905531628,6.0,18.18,13.159087612472502,block_group
12,#_#_010890109022,30.0,19.0,63.33,17.244699979761897,12.0,40.0,17.53077294359835,block_group
13,#_#_010970038001,37.0,19.0,51.35,16.105227189046754,6.0,16.22,11.878204890493366,block_group
14,#_#_010970058002,33.0,10.0,30.3,15.679665905531628,0.0,0.0,0.0,block_group
15,#_#_011010011005,36.0,9.0,25.0,14.14508159514583,5.0,13.89,11.297510105033467,block_group
16,#_#_011010016002,40.0,21.0,52.5,15.475779463406681,7.0,17.5,11.775302543883958,block_group
17,#_#_011010051011,30.0,11.0,36.67,17.244699979761897,7.0,23.33,15.13441174031331,block_group
