geoid,num_surveys,detectors_found_total,no_detectors_found_prc,no_detectors_found_CI,detectors_working_total,no_detectors_working_prc,no_detectors_working_CI
#_01001,12.0,1.0,91.67,15.63513245269554,1.0,91.67,15.63513245269554
#_01003,95.0,74.0,22.11,8.345060545105332,50.0,47.37,10.040668900426903
#_01005,15.0,11.0,26.67,22.38013965068136,3.0,80.0,20.242792956177432
#_01007,14.0,9.0,35.71,25.099131358674544,6.0,57.14,25.923178774216712
#_01009,47.0,15.0,68.09,13.326380571202016,5.0,89.36,8.81555250515042
#_01011,9.0,8.0,11.11,20.531387474466175,4.0,55.56,32.46406956457144
#_01013,123.0,57.0,53.66,8.812656946899716,33.0,73.17,7.830335665359124
#_01015,71.0,37.0,47.89,11.62009964118148,20.0,71.83,10.463410255057088
#_01017,15.0,8.0,46.67,25.247311251906936,2.0,86.67,17.201246314845907
#_01019,4.0,2.0,50.0,49.0,2.0,50.0,49.0
#_01021,61.0,24.0,60.66,12.259126729950369,21.0,65.57,11.923733396087973
#_01023,124.0,41.0,66.94,8.280174843408764,13.0,89.52,5.391205753698303
#_01025,34.0,16.0,52.94,16.777781829690895,11.0,67.65,15.724891437014195
#_01027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_01029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_01031,7.0,4.0,42.86,36.66091100231962,3.0,57.14,36.66091100231962
#_01033,7.0,7.0,0.0,0.0,4.0,42.86,36.66091100231962
#_01035,6.0,2.0,66.67,37.71927447552511,1.0,83.33,29.822835774397223
#_01037,4.0,3.0,25.0,42.43524478543749,2.0,50.0,49.0
#_01039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_01041,5.0,1.0,80.0,35.0615458871967,1.0,80.0,35.0615458871967
#_01043,30.0,16.0,46.67,17.85254499295082,8.0,73.33,15.825148510898721
#_01045,9.0,7.0,22.22,27.160690914465174,1.0,88.89,20.531387474466175
#_01047,163.0,83.0,49.08,7.67465291465945,17.0,89.57,4.692299348815644
#_01049,56.0,47.0,16.07,9.618970831643061,30.0,46.43,13.06237726679183
#_01051,28.0,21.0,25.0,16.039014932345438,14.0,50.0,18.520259177452132
#_01053,45.0,21.0,53.33,14.576541947602736,6.0,86.67,9.931144190273343
#_01055,89.0,33.0,62.92,10.03518279492907,13.0,85.39,7.33820234288811
#_01057,2.0,2.0,0.0,0.0,0.0,100.0,0.0
#_01059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_01061,17.0,12.0,29.41,21.659614057503422,9.0,47.06,23.727366610085742
#_01063,81.0,74.0,8.64,6.1185495100282274,20.0,75.31,9.390753281188264
#_01065,15.0,10.0,33.33,23.855763806342484,3.0,80.0,20.242792956177432
#_01067,21.0,11.0,47.62,21.361112465412468,2.0,90.48,12.552816901397069
#_01069,33.0,19.0,42.42,16.862434036315484,9.0,72.73,15.194921619110414
#_01071,7.0,7.0,0.0,0.0,3.0,57.14,36.66091100231962
#_01073,1299.0,694.0,46.57,2.712671482950172,342.0,73.67,2.39509233177373
#_01075,7.0,4.0,42.86,36.66091100231962,0.0,100.0,0.0
#_01077,41.0,23.0,43.9,15.190701636037815,8.0,80.49,12.130082130138382
#_01079,13.0,12.0,7.69,14.483447205052341,7.0,46.15,27.099613797986127
#_01081,356.0,219.0,38.48,5.054250554964559,99.0,72.19,4.654468416720345
#_01083,25.0,14.0,44.0,19.458368276913664,2.0,92.0,10.63469341354042
#_01085,9.0,2.0,77.78,27.160690914465174,0.0,100.0,0.0
#_01087,121.0,54.0,55.37,8.85755976551496,34.0,71.9,8.009049749146119
#_01089,529.0,374.0,29.3,3.8785710579794515,245.0,53.69,4.249250437679239
#_01091,79.0,35.0,55.7,10.953981078509969,24.0,69.62,10.141528604827363
#_01093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_01095,132.0,100.0,24.24,7.310639969001595,41.0,68.94,7.89415175660841
#_01097,1135.0,769.0,32.25,2.719428532219631,441.0,61.15,2.8356451509359264
#_01099,10.0,5.0,50.0,30.990321069650115,2.0,80.0,24.792256855720094
#_01101,713.0,347.0,51.33,3.66883019479791,175.0,75.46,3.158689858681604
#_01103,22.0,17.0,22.73,17.51257083479283,7.0,68.18,19.4636065565735
#_01105,47.0,16.0,65.96,13.546972262370911,4.0,91.49,7.977351642659255
#_01107,3.0,3.0,0.0,0.0,2.0,33.33,53.34310952616092
#_01109,3.0,3.0,0.0,0.0,1.0,66.67,53.34310952616092
#_01111,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_01113,88.0,51.0,42.05,10.313936553386041,19.0,78.41,8.596601264876297
#_01115,11.0,4.0,63.64,28.427374541643992,4.0,63.64,28.427374541643992
#_01117,259.0,224.0,13.51,4.163099706397315,175.0,32.43,5.701073277047952
#_01119,21.0,16.0,23.81,18.21692660064626,9.0,57.14,21.166186835926148
#_01121,74.0,30.0,59.46,11.18650796262345,25.0,66.22,10.77617467263477
#_01123,34.0,22.0,35.29,16.063054834949305,15.0,55.88,16.690239297054468
#_01125,131.0,89.0,32.06,7.992174429321616,55.0,58.02,8.451435919082103
#_01127,30.0,12.0,60.0,17.53077294359835,7.0,76.67,15.13441174031331
#_01129,531.0,249.0,53.11,4.244603011841695,129.0,75.71,3.6475326772646945
#_01131,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_01133,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_02013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_02016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_02020,664.0,552.0,16.87,2.8484490995154044,277.0,58.28,3.7506276684669566
#_02050,387.0,183.0,52.71,4.974297479501366,57.0,85.27,3.531019319550484
#_02060,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_02068,5.0,5.0,0.0,0.0,1.0,80.0,35.0615458871967
