geoid,num_surveys,detectors_found_total,no_detectors_found_prc,no_detectors_found_CI,detectors_working_total,no_detectors_working_prc,no_detectors_working_CI
#_01,6975.0,4071.0,41.63,1.1568632297398056,2189.0,68.62,1.0890198399251219
#_02,2172.0,1532.0,29.47,1.9173578273267224,717.0,66.99,1.9776703931869934
#_04,6366.0,3363.0,47.17,1.2262979370852456,1443.0,77.33,1.0285431575684296
#_05,4503.0,2442.0,45.77,1.4551754402571546,1305.0,71.02,1.3250876991629716
#_06,44657.0,32376.0,27.5,0.4141394947962578,18790.0,57.92,0.45789240640898565
#_08,6631.0,4237.0,36.1,1.1560339472117664,2355.0,64.48,1.1519020478137465
#_09,8199.0,6690.0,18.4,0.8387443719502558,4064.0,50.43,1.0822549271328497
#_10,978.0,761.0,22.19,2.6042519782652693,464.0,52.56,3.1295843576710216
#_11,767.0,632.0,17.6,2.695121379274441,423.0,44.85,3.5197544887416434
#_12,35181.0,23501.0,33.2,0.4921066734234691,13289.0,62.23,0.5066118853529106
#_13,13770.0,7773.0,43.55,0.8281617233016162,3360.0,75.6,0.7173728103431353
#_15,1804.0,1219.0,32.43,2.160171532792355,603.0,66.57,2.1769340459562527
#_16,1762.0,1203.0,31.73,2.1732170657975654,717.0,59.31,2.2938284042512485
#_17,14024.0,9541.0,31.97,0.7718655776420266,6074.0,56.69,0.8201011864092139
#_18,19863.0,13362.0,32.73,0.6525553679570103,7907.0,60.19,0.6807566782992923
#_19,3848.0,2828.0,26.51,1.3946252605707519,1956.0,49.17,1.579605723470772
#_20,5206.0,2679.0,48.54,1.3576529462150848,1557.0,70.09,1.2437704257162112
#_21,40390.0,32590.0,19.31,0.38496401873773034,26754.0,33.76,0.4611906836019651
#_22,9633.0,3712.0,61.47,0.9718660298845722,2048.0,78.74,0.8170612733763394
#_23,2763.0,2086.0,24.5,1.6036963726767353,1495.0,45.89,1.8580757901456668
#_24,5101.0,3899.0,23.56,1.1645989436358517,2578.0,49.46,1.3720599398786768
#_25,10089.0,7995.0,20.76,0.7914398583871985,4801.0,52.41,0.9745338810755929
#_26,17019.0,10918.0,35.85,0.7204966445249594,5650.0,66.8,0.7075323886355519
#_27,7296.0,6099.0,16.41,0.8498555439556215,3718.0,49.04,1.1471061261110076
#_28,8630.0,4857.0,43.72,1.0465688264628152,2149.0,75.1,0.9123685691788668
#_29,10830.0,5843.0,46.05,0.938755262977158,3319.0,69.35,0.8683210215647368
#_30,866.0,594.0,31.41,3.0914447908648404,362.0,58.2,3.2850861146399892
#_31,3043.0,1811.0,40.49,1.7441103475176412,1073.0,64.74,1.6975891729968249
#_32,3054.0,2356.0,22.86,1.4893593125786122,1078.0,64.7,1.694966222789754
#_33,2057.0,1688.0,17.94,1.658119784091524,1094.0,46.82,2.1563973859259327
#_34,5558.0,3558.0,35.98,1.2617845766948044,2392.0,56.96,1.301721031840354
#_35,999.0,525.0,47.45,3.0965478527877788,251.0,74.87,2.6898216702185995
#_36,51826.0,34691.0,33.06,0.40502003292692323,23127.0,55.38,0.4279800101293877
#_37,14888.0,8806.0,40.85,0.789607557147307,4754.0,68.07,0.7488851621175061
#_38,431.0,265.0,38.52,4.59438626470687,156.0,63.81,4.536867545292312
#_39,41070.0,26372.0,35.79,0.4636346695711418,12217.0,70.25,0.44214057250315875
#_40,7893.0,4173.0,47.13,1.101256272420121,2189.0,72.27,0.9876179669387838
#_41,7405.0,6029.0,18.58,0.8858943742745918,3678.0,50.33,1.1388173764252438
#_42,17111.0,10899.0,36.3,0.720512308726152,7058.0,58.75,0.7376227240495682
#_44,2155.0,1752.0,18.7,1.6462603189006917,970.0,54.99,2.100529573690634
#_45,15572.0,10433.0,33.0,0.7385471815519786,5922.0,61.97,0.762496377245229
#_46,1740.0,1489.0,14.43,1.6511076087657452,850.0,51.15,2.3487486866634857
#_47,10090.0,6765.0,32.95,0.9171441257908951,3682.0,63.51,0.9393306129263407
#_48,24486.0,13402.0,45.27,0.6234693670062686,7282.0,70.26,0.5725609220583147
#_49,891.0,509.0,42.87,3.2495713202493657,377.0,57.69,3.2440609220948096
#_50,1405.0,1147.0,18.36,2.024443896690391,761.0,45.84,2.6054307923166182
#_51,11574.0,7872.0,31.99,0.8497826107642376,4205.0,63.67,0.8762226114291268
#_53,7887.0,6254.0,20.7,0.8941737522009593,3883.0,50.77,1.1033635950782885
#_54,7955.0,4943.0,37.86,1.0658888241147484,3040.0,61.79,1.067784459392873
#_55,8676.0,6822.0,21.37,0.862566721279211,4460.0,48.59,1.051704061639389
#_56,892.0,562.0,37.0,3.168434845818564,347.0,61.1,3.1994037533080464
#_NA,3.0,2.0,33.33,53.34310952616092,0.0,100.0,0.0
