,num_surveys,detectors_found_total,detectors_found_prc,detectors_found_CI,detectors_working_total,detectors_working_prc,detectors_working_CI
01001020100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01001020200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01001020300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01001020400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01001020500,1.0,0.0,0.0,0.0,0.0,0.0,0.0
01001020600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01001020700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01001020801,1.0,0.0,0.0,0.0,0.0,0.0,0.0
01001020802,4.0,0.0,0.0,0.0,0.0,0.0,0.0
01001020900,3.0,0.0,0.0,0.0,0.0,0.0,0.0
01001021000,2.0,1.0,50.0,69.29646455628166,1.0,50.0,69.29646455628166
01001021100,1.0,0.0,0.0,0.0,0.0,0.0,0.0
01003010100,1.0,0.0,0.0,0.0,0.0,0.0,0.0
01003010200,1.0,0.0,0.0,0.0,0.0,0.0,0.0
01003010300,5.0,4.0,80.0,35.0615458871967,4.0,80.0,35.0615458871967
01003010400,5.0,3.0,60.0,42.941448508405024,0.0,0.0,0.0
01003010500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01003010600,2.0,2.0,100.0,0.0,1.0,50.0,69.29646455628166
01003010701,15.0,13.0,86.67,17.201246314845907,10.0,66.67,23.855763806342484
01003010703,11.0,9.0,81.82,22.792208326052613,8.0,72.73,26.318376261325987
01003010704,1.0,1.0,100.0,0.0,1.0,100.0,0.0
01003010705,2.0,2.0,100.0,0.0,1.0,50.0,69.29646455628166
01003010800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01003010903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01003010904,9.0,3.0,33.33,30.7976586443407,3.0,33.33,30.7976586443407
01003010905,3.0,3.0,100.0,0.0,3.0,100.0,0.0
01003010906,1.0,1.0,100.0,0.0,1.0,100.0,0.0
01003011000,2.0,2.0,100.0,0.0,1.0,50.0,69.29646455628166
01003011101,2.0,2.0,100.0,0.0,1.0,50.0,69.29646455628166
