st_fdid2,station_data_quality,2009,2010,2011,2012,2013,2014,2015,2016,zero_years,sum_tot_fires,std,variation,geometric_variation
AK11100,1,30,31,33,42,29,33,27,31,0,256,4.503966505838413,0.1316585902058806,0.1356623192533415
AK12100,0,0,2,4,6,3,2,4,0,2,21,2.065879266282796,0.7361726111304908,1.076289022991701
AK12150,0,0,0,1,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK12200,1,3,2,2,2,3,4,3,4,0,23,0.8345229603962802,0.2715216521042782,0.24092420871276166
AK12220,0,0,0,0,0,0,0,0,1,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK13000,1,13,10,16,11,9,16,17,8,0,100,3.5050983275386565,0.26229754097208,0.3040226072010679
AK13400,0,3,1,3,2,1,4,4,2,0,20,1.1952286093343936,0.447213595499958,0.4423148813695985
AK13425,0,3,0,3,4,4,5,3,2,1,24,1.5118578920369088,0.47140452079103173,0.7481823126849387
AK14000,0,1,5,4,5,12,3,5,11,0,46,3.8078865529319543,0.6194698629902177,0.8127347662541957
AK15000,1,4,8,4,7,6,7,3,4,0,43,1.8468119248354136,0.3214017432810524,0.3445785637643828
AK15100,0,9,13,5,1,8,4,8,8,0,56,3.625307868699863,0.4844521416518049,0.8184465347444947
AK15200,0,0,0,1,1,0,0,0,2,5,4,0.7559289460184544,1.4142135623730951,0.5629512148509475
AK15400,0,0,0,0,0,1,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK17100,0,0,1,0,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK17107,0,0,0,0,0,1,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK17200,0,3,1,4,2,4,1,0,0,2,15,1.6420805617960927,0.8192137151629671,0.9216609314051762
AK17230,0,0,1,0,0,0,1,1,0,5,3,0.5175491695067657,1.2909944487358056,0.4315213324989562
AK17250,0,0,0,2,3,1,2,5,0,3,13,1.7677669529663689,1.0175966581017657,1.0123842547987483
AK17400,0,1,1,0,2,1,1,0,0,3,6,0.7071067811865476,0.8819171036881969,0.5273030625604476
AK19400,0,0,0,0,0,0,0,2,0,7,2,0.7071067811865476,2.6457513110645907,0.4746462044137798
AK19700,0,0,0,0,0,0,0,0,1,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK19701,0,0,0,0,1,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK19702,0,0,1,0,1,0,0,0,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK19703,0,2,1,2,4,0,1,1,4,1,15,1.4577379737113252,0.7272474743090476,0.709582904407295
AK19705,1,7,4,6,3,3,3,4,4,0,34,1.4880476182856899,0.3275155507547072,0.29975338557756825
AK19706,0,0,0,0,0,0,1,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK19710,0,2,0,0,0,0,2,1,0,5,5,0.9161253813129043,1.3711309200802089,0.6721278292075594
AK19711,0,0,0,0,1,3,1,0,0,5,5,1.0606601717798212,1.5874507866387544,0.6887186019441878
AK21100,0,3,1,0,2,1,2,2,1,1,12,0.9258200997725514,0.5773502691896257,0.5308197717975158
AK21101,0,0,0,0,0,0,0,1,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK21102,0,0,0,0,0,1,1,0,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK21103,0,0,0,0,0,0,1,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK21109,0,0,0,1,1,0,0,0,1,5,3,0.5175491695067657,1.2909944487358056,0.4315213324989562
AK21115,0,0,0,0,0,8,0,0,0,7,8,2.8284271247461903,2.6457513110645907,1.174581428191967
AK21118,0,0,0,0,1,1,0,1,0,5,3,0.5175491695067657,1.2909944487358056,0.4315213324989562
AK22100,0,2,0,2,2,0,1,0,1,3,8,0.9258200997725514,0.8660254037844386,0.6701261384950663
AK22105,0,0,0,0,0,2,0,1,0,6,3,0.7440238091428449,1.8559214542766738,0.5351621290142332
AK22108,0,0,0,0,1,1,0,0,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK22110,0,0,0,0,0,0,0,0,1,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK22111,0,0,0,0,0,0,0,0,1,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK22114,0,0,0,0,1,0,1,0,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK22137,0,0,0,0,0,0,1,0,1,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK22201,0,0,0,0,0,0,1,0,3,6,4,1.0690449676496976,2.0,0.6748406150858024
AK22202,0,0,0,0,0,0,0,0,1,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK22203,0,0,0,1,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK22204,0,0,0,0,1,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK22206,0,0,0,0,0,1,1,1,0,5,3,0.5175491695067657,1.2909944487358056,0.4315213324989562
AK22207,0,0,0,0,0,0,0,1,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK22208,0,0,2,1,1,1,0,0,2,3,7,0.8345229603962802,0.8921425711997711,0.6055088115710234
