STATE,COUNTYFP,TRACTCE,COUNT
AK,13.0,100.0,3
AK,16.0,200.0,9
AK,16.0,100.0,1
AK,20.0,1731.0,73
AK,20.0,802.0,72
AK,20.0,901.0,72
AK,20.0,701.0,70
AK,20.0,801.0,70
AK,20.0,1400.0,70
AK,20.0,600.0,67
AK,20.0,703.0,67
AK,20.0,2712.0,64
AK,20.0,1701.0,58
AK,20.0,102.0,57
AK,20.0,2303.0,56
AK,20.0,2702.0,55
AK,20.0,902.0,44
AK,20.0,2811.0,44
AK,20.0,1000.0,43
AK,20.0,2301.0,43
AK,20.0,1702.0,41
AK,20.0,2502.0,41
AK,20.0,203.0,40
AK,20.0,1802.0,40
AK,20.0,2000.0,39
AK,20.0,2812.0,39
AK,20.0,101.0,38
AK,20.0,702.0,38
AK,20.0,1900.0,38
AK,20.0,2900.0,37
AK,20.0,1801.0,36
AK,20.0,2100.0,34
AK,20.0,1732.0,33
AK,20.0,202.0,32
AK,20.0,2202.0,31
AK,20.0,2302.0,30
AK,20.0,2813.0,30
AK,20.0,2822.0,30
AK,20.0,1602.0,28
AK,20.0,1500.0,27
AK,20.0,201.0,26
AK,20.0,1601.0,25
AK,20.0,2601.0,25
AK,20.0,2603.0,25
AK,20.0,2602.0,24
AK,20.0,2711.0,24
AK,20.0,2823.0,23
AK,20.0,500.0,21
AK,20.0,2201.0,21
AK,20.0,2400.0,21
AK,20.0,2501.0,21
AK,20.0,1200.0,20
AK,20.0,2821.0,19
AK,20.0,204.0,17
AK,20.0,1100.0,16
AK,20.0,1300.0,16
AK,20.0,300.0,13
AK,50.0,200.0,62
AK,60.0,100.0,1
AK,68.0,100.0,4
AK,70.0,200.0,17
AK,90.0,1500.0,132
AK,90.0,1900.0,102
AK,90.0,1400.0,93
AK,90.0,300.0,83
AK,90.0,1200.0,64
AK,90.0,1300.0,60
AK,90.0,1600.0,59
AK,90.0,600.0,57
AK,90.0,200.0,53
AK,90.0,400.0,53
AK,90.0,900.0,52
AK,90.0,700.0,47
AK,90.0,800.0,47
AK,90.0,100.0,43
AK,90.0,500.0,26
AK,90.0,1000.0,24
AK,90.0,1700.0,17
AK,100.0,100.0,19
AK,105.0,300.0,14
AK,110.0,200.0,48
AK,110.0,300.0,43
AK,110.0,500.0,40
AK,110.0,100.0,36
AK,110.0,600.0,36
AK,110.0,400.0,34
AK,122.0,600.0,90
AK,122.0,200.0,67
AK,122.0,700.0,67
AK,122.0,500.0,57
AK,122.0,400.0,54
AK,122.0,800.0,54
AK,122.0,1000.0,49
AK,122.0,1300.0,38
AK,122.0,1100.0,19
AK,122.0,900.0,14
AK,122.0,300.0,4
AK,122.0,1200.0,3
AK,122.0,100.0,1
AK,130.0,200.0,59
AK,130.0,100.0,33
AK,130.0,300.0,27
AK,130.0,400.0,21
AK,150.0,200.0,58
AK,150.0,300.0,22
AK,150.0,100.0,19
AK,150.0,400.0,10
AK,158.0,100.0,2
AK,164.0,100.0,2
AK,170.0,402.0,80
AK,170.0,706.0,50
AK,170.0,401.0,43
AK,170.0,800.0,42
AK,170.0,701.0,40
AK,170.0,603.0,39
AK,170.0,300.0,38
AK,170.0,1201.0,33
AK,170.0,1300.0,33
AK,170.0,604.0,29
AK,170.0,1003.0,28
AK,170.0,1100.0,28
AK,170.0,703.0,26
AK,170.0,1202.0,26
AK,170.0,102.0,24
AK,170.0,501.0,24
AK,170.0,1004.0,23
AK,170.0,502.0,22
AK,170.0,601.0,20
AK,170.0,900.0,19
AK,170.0,1001.0,18
AK,170.0,705.0,17
AK,170.0,200.0,10
AK,170.0,101.0,1
AK,180.0,200.0,24
AK,185.0,100.0,49
AK,185.0,200.0,17
AK,188.0,200.0,35
AK,188.0,100.0,1
AK,195.0,200.0,35
AK,198.0,200.0,22
AK,198.0,100.0,2
AK,220.0,200.0,25
AK,220.0,100.0,13
AK,230.0,100.0,5
AK,240.0,400.0,28
AK,240.0,100.0,2
AK,261.0,300.0,43
AK,261.0,200.0,9
AK,275.0,300.0,13
AK,290.0,200.0,9
AK,290.0,400.0,2
AK,290.0,300.0,1
AL,1.0,20500.0,55
AL,1.0,20300.0,25
AL,1.0,20400.0,22
AL,1.0,20600.0,21
AL,1.0,20700.0,20
AL,1.0,20200.0,17
AL,1.0,20100.0,13
AL,1.0,20801.0,8
AL,1.0,20802.0,8
AL,1.0,20900.0,6
AL,1.0,21000.0,1
AL,3.0,11401.0,50
AL,3.0,10705.0,45
AL,3.0,11405.0,43
AL,3.0,11502.0,41
AL,3.0,11406.0,38
AL,3.0,11407.0,37
AL,3.0,10500.0,36
AL,3.0,10800.0,36
AL,3.0,10701.0,35
AL,3.0,10600.0,34
AL,3.0,11101.0,31
AL,3.0,11602.0,29
AL,3.0,10703.0,28
AL,3.0,11202.0,27
AL,3.0,11403.0,24
AL,3.0,10905.0,22
AL,3.0,10300.0,19
AL,3.0,10704.0,19
AL,3.0,11601.0,17
AL,3.0,11501.0,16
AL,3.0,11201.0,15
AL,3.0,11300.0,13
AL,3.0,10903.0,11
AL,3.0,10200.0,9
AL,3.0,10400.0,9
AL,3.0,11102.0,8
AL,3.0,10904.0,5
AL,3.0,10906.0,5
AL,3.0,11408.0,3
AL,3.0,11000.0,2
AL,5.0,950200.0,19
AL,5.0,950100.0,6
AL,5.0,950300.0,6
AL,5.0,950400.0,6
AL,5.0,950900.0,3
AL,5.0,950500.0,2
AL,5.0,950600.0,2
AL,5.0,950800.0,1
AL,7.0,10001.0,4
AL,7.0,10002.0,4
AL,7.0,10003.0,3
AL,7.0,10004.0,1
AL,9.0,50500.0,46
AL,9.0,50300.0,34
AL,9.0,50400.0,31
AL,9.0,50101.0,29
AL,9.0,50102.0,24
AL,9.0,50200.0,3
AL,9.0,50700.0,2
AL,9.0,50602.0,1
AL,11.0,952200.0,1
AL,11.0,952500.0,1
AL,13.0,953100.0,21
AL,13.0,953200.0,21
AL,13.0,952900.0,17
AL,13.0,953000.0,16
AL,13.0,952700.0,7
AL,13.0,953400.0,6
AL,13.0,952800.0,5
AL,13.0,953300.0,3
AL,13.0,953500.0,1
AL,15.0,300.0,33
AL,15.0,1100.0,30
AL,15.0,1201.0,29
AL,15.0,2103.0,26
AL,15.0,2200.0,24
AL,15.0,1000.0,20
AL,15.0,2101.0,18
AL,15.0,400.0,16
AL,15.0,500.0,16
AL,15.0,700.0,16
AL,15.0,1700.0,16
AL,15.0,1300.0,15
AL,15.0,1600.0,15
AL,15.0,2300.0,15
AL,15.0,200.0,14
AL,15.0,2102.0,14
AL,15.0,1800.0,13
AL,15.0,2000.0,13
AL,15.0,1202.0,12
AL,15.0,600.0,11
AL,15.0,1500.0,11
AL,15.0,1400.0,7
AL,15.0,2501.0,7
AL,15.0,800.0,6
AL,15.0,2400.0,6
AL,15.0,2502.0,5
AL,15.0,900.0,2
AL,17.0,954200.0,26
AL,17.0,954300.0,25
AL,17.0,954700.0,18
AL,17.0,954500.0,14
AL,17.0,954600.0,11
AL,17.0,953900.0,10
AL,17.0,954400.0,10
AL,17.0,954000.0,2
AL,19.0,955702.0,35
AL,19.0,955701.0,6
AL,19.0,955900.0,6
AL,19.0,955800.0,4
AL,19.0,956100.0,4
AL,19.0,956000.0,2
AL,21.0,60101.0,67
AL,21.0,60102.0,57
AL,21.0,60402.0,35
AL,21.0,60700.0,30
AL,21.0,60401.0,20
AL,21.0,60500.0,12
AL,21.0,60600.0,7
AL,21.0,60300.0,4
AL,21.0,60200.0,2
AL,23.0,956900.0,6
AL,23.0,956700.0,1
AL,25.0,957800.0,5
AL,25.0,957902.0,1
AL,27.0,958900.0,3
AL,27.0,959100.0,3
AL,27.0,959000.0,2
AL,27.0,959200.0,1
AL,29.0,959600.0,23
AL,29.0,959700.0,6
AL,29.0,959800.0,2
AL,31.0,11300.0,31
AL,31.0,11202.0,29
AL,31.0,10900.0,26
AL,31.0,11201.0,22
AL,31.0,11000.0,20
AL,31.0,10500.0,17
AL,31.0,11100.0,12
AL,31.0,10400.0,4
AL,31.0,10300.0,3
AL,31.0,10700.0,1
AL,33.0,20100.0,19
AL,33.0,20701.0,14
AL,33.0,20703.0,12
AL,33.0,20300.0,9
AL,33.0,20704.0,9
AL,33.0,20200.0,7
AL,33.0,20901.0,5
AL,33.0,20801.0,4
AL,33.0,20400.0,2
AL,33.0,20802.0,2
AL,33.0,20902.0,2
AL,33.0,21000.0,1
AL,35.0,960600.0,16
AL,35.0,960200.0,6
AL,35.0,960400.0,4
AL,35.0,960500.0,4
AL,37.0,961200.0,1
AL,39.0,962600.0,28
AL,39.0,962700.0,21
AL,39.0,961600.0,18
AL,39.0,962400.0,17
AL,39.0,962500.0,14
AL,39.0,963000.0,8
AL,39.0,962800.0,5
AL,39.0,961700.0,1
AL,39.0,962000.0,1
AL,41.0,963700.0,10
AL,41.0,963600.0,8
AL,41.0,963500.0,4
AL,41.0,963800.0,2
AL,43.0,964300.0,55
AL,43.0,964800.0,38
AL,43.0,965000.0,33
AL,43.0,964200.0,31
AL,43.0,964900.0,28
AL,43.0,965600.0,16
AL,43.0,964600.0,15
AL,43.0,964400.0,14
AL,43.0,965200.0,14
AL,43.0,964700.0,12
AL,43.0,964100.0,9
AL,43.0,964500.0,9
AL,43.0,965300.0,7
AL,43.0,965500.0,4
AL,43.0,965100.0,3
AL,43.0,965700.0,2
AL,45.0,20802.0,30
AL,45.0,20700.0,25
AL,45.0,21101.0,19
AL,45.0,20801.0,16
AL,45.0,21102.0,10
AL,45.0,20400.0,8
AL,45.0,20500.0,7
AL,45.0,21200.0,6
AL,45.0,20100.0,5
AL,45.0,21300.0,2
AL,45.0,20200.0,1
AL,45.0,21400.0,1
AL,47.0,956600.0,100
AL,47.0,956300.0,61
AL,47.0,956500.0,51
AL,47.0,957300.0,51
AL,47.0,956400.0,44
AL,47.0,956702.0,40
AL,47.0,956800.0,37
AL,47.0,957200.0,24
AL,47.0,956701.0,18
AL,47.0,956201.0,16
AL,47.0,956100.0,13
AL,47.0,957100.0,9
AL,47.0,956202.0,2
AL,47.0,956900.0,2
AL,47.0,957000.0,1
AL,49.0,961300.0,27
AL,49.0,960300.0,21
AL,49.0,960200.0,20
AL,49.0,960400.0,19
AL,49.0,960600.0,18
