STATE,COUNTYFP,COUNT
AK,20.0,2084
AK,90.0,1012
AK,170.0,713
AK,122.0,517
AK,110.0,237
AK,130.0,140
AK,150.0,109
AK,185.0,66
AK,50.0,62
AK,261.0,52
AK,220.0,38
AK,188.0,36
AK,195.0,35
AK,240.0,30
AK,180.0,24
AK,198.0,24
AK,100.0,19
AK,70.0,17
AK,105.0,14
AK,275.0,13
AK,290.0,12
AK,16.0,10
AK,230.0,5
AK,68.0,4
AK,13.0,3
AK,158.0,2
AK,164.0,2
AK,60.0,1
AL,73.0,5025
AL,97.0,1894
AL,89.0,1511
AL,125.0,1440
AL,3.0,707
AL,69.0,662
AL,113.0,512
AL,117.0,512
AL,81.0,475
AL,47.0,469
AL,55.0,469
AL,95.0,436
AL,77.0,423
AL,121.0,421
AL,15.0,410
AL,127.0,362
AL,43.0,290
AL,51.0,270
AL,21.0,234
AL,101.0,214
AL,1.0,196
AL,103.0,195
AL,9.0,170
AL,31.0,165
AL,49.0,156
AL,123.0,154
AL,109.0,146
AL,53.0,145
AL,45.0,130
AL,61.0,129
AL,83.0,122
AL,17.0,116
AL,39.0,113
AL,71.0,112
AL,13.0,97
AL,91.0,91
AL,33.0,86
AL,111.0,78
AL,57.0,66
AL,99.0,66
AL,19.0,57
AL,133.0,56
AL,115.0,48
AL,107.0,47
AL,59.0,46
AL,5.0,45
AL,67.0,41
AL,93.0,39
AL,79.0,37
AL,131.0,37
AL,29.0,31
AL,35.0,30
AL,65.0,29
AL,87.0,28
AL,75.0,27
AL,41.0,24
AL,119.0,21
AL,7.0,12
AL,129.0,10
AL,27.0,9
AL,23.0,7
AL,25.0,6
AL,11.0,2
AL,37.0,1
AL,63.0,1
AL,85.0,1
AR,119.0,3942
AR,69.0,1560
AR,7.0,1293
AR,131.0,1105
AR,143.0,1037
AR,51.0,994
AR,31.0,900
AR,93.0,808
AR,35.0,806
AR,125.0,779
AR,145.0,690
AR,45.0,594
AR,91.0,504
AR,33.0,492
AR,115.0,457
AR,63.0,403
AR,85.0,387
AR,111.0,379
AR,139.0,377
AR,55.0,331
AR,123.0,314
AR,5.0,256
AR,107.0,254
AR,1.0,245
AR,27.0,236
AR,59.0,232
AR,37.0,211
AR,135.0,211
AR,23.0,206
AR,71.0,181
AR,9.0,180
AR,3.0,179
AR,43.0,175
AR,15.0,171
AR,53.0,167
AR,121.0,164
AR,29.0,157
AR,11.0,153
AR,75.0,148
AR,95.0,143
AR,103.0,136
AR,47.0,128
AR,19.0,126
AR,41.0,124
AR,61.0,107
AR,67.0,106
AR,83.0,105
AR,89.0,105
AR,133.0,102
AR,39.0,92
AR,79.0,89
AR,137.0,89
AR,127.0,88
AR,17.0,84
AR,57.0,83
AR,141.0,77
AR,149.0,75
AR,49.0,74
AR,21.0,71
AR,87.0,71
AR,147.0,68
AR,113.0,64
AR,73.0,58
AR,65.0,52
AR,109.0,40
AR,25.0,39
AR,105.0,39
AR,81.0,38
AR,97.0,33
AR,117.0,25
AR,77.0,18
AR,129.0,18
AR,99.0,16
AR,13.0,7
AR,101.0,2
AZ,13.0,6789
AZ,19.0,2054
AZ,15.0,682
AZ,21.0,455
AZ,25.0,382
AZ,27.0,333
AZ,5.0,149
AZ,17.0,149
AZ,7.0,98
AZ,3.0,84
AZ,23.0,42
AZ,1.0,39
AZ,12.0,10
AZ,9.0,2
CA,37.0,17950
CA,75.0,6501
CA,73.0,5326
CA,67.0,4124
CA,65.0,3310
CA,19.0,3049
CA,1.0,2884
CA,71.0,2664
CA,29.0,2522
CA,81.0,2186
CA,85.0,2089
CA,59.0,1974
CA,99.0,1805
CA,77.0,1480
CA,107.0,1364
CA,111.0,1273
CA,97.0,1192
CA,61.0,1111
CA,47.0,1075
CA,83.0,909
CA,7.0,870
