,COUNT
00000,16267
08618,3823
10456,3500
48205,3439
11212,2879
77201,2827
10453,2801
11226,2787
11111,2744
10457,2465
02445,2439
27405,2422
10458,2412
10029,2411
07505,2359
11207,2350
11236,2344
10467,2286
11221,2248
10027,2211
11206,2192
11233,2184
11203,2094
02151,2067
48219,2056
11234,2056
11213,2017
11210,1973
10460,1966
02124,1922
10452,1907
11230,1876
10025,1868
02121,1861
01420,1856
07305,1850
10466,1847
48228,1842
63108,1823
10031,1821
01702,1804
11208,1793
10002,1781
31201,1765
48203,1761
48210,1735
10451,1730
29601,1719
10468,1717
11211,1707
10701,1681
11691,1674
48224,1671
10469,1659
29150,1634
27601,1629
10009,1619
11434,1613
10472,1519
10032,1516
10459,1501
02138,1458
10454,1458
10473,1451
07666,1434
48238,1407
71601,1405
85201,1398
02119,1398
10463,1385
02118,1380
02139,1378
02150,1368
48209,1366
60637,1354
10455,1350
21217,1343
10035,1338
30906,1337
48601,1325
01902,1321
10021,1320
02126,1319
11225,1318
07306,1309
02125,1308
10026,1305
02115,1297
11219,1271
07304,1262
63118,1256
02169,1255
11216,1240
60628,1237
01101,1228
10462,1227
60649,1214
10314,1214
02130,1188
02134,1178
35401,1174
11229,1174
48234,1154
11201,1145
60644,1138
11223,1131
60620,1127
10475,1126
10030,1125
11413,1119
60619,1117
60621,1097
48227,1093
07050,1077
63113,1062
21215,1060
11204,1052
55106,1051
60624,1038
87108,1037
07302,1024
11205,1023
60609,1021
48204,1019
30901,1017
02135,1003
48207,994
38127,992
11224,990
06516,985
10550,976
60623,976
02155,976
60617,974
11412,970
30083,966
10304,966
60616,961
02215,959
60653,958
60636,953
25302,949
13501,948
99999,932
10040,928
10024,926
11238,924
07030,923
02120,922
31601,921
11235,918
10033,916
02116,912
10801,907
60651,903
25301,902
02128,900
10003,899
11237,897
02072,895
11432,894
11218,888
11215,886
11209,880
02368,879
11373,878
07111,878
06010,872
11433,865
06053,859
11355,857
63112,852
07307,851
37040,848
39301,848
11377,844
10583,841
11368,837
60615,826
44052,825
01201,824
11220,824
11435,823
38116,822
14621,821
42301,821
38128,819
72401,816
38109,814
07055,813
08831,812
01040,812
38701,811
11214,810
07712,808
35215,805
31701,802
10034,802
21740,798
43607,796
94109,794
11420,793
60640,792
32601,792
13502,792
10465,790
07087,790
11385,789
11375,787
07018,787
19720,784
63115,783
10128,782
02136,771
38106,768
55117,767
10301,758
01604,758
10011,753
11217,752
07017,751
48235,746
11550,744
10312,741
10039,741
07106,739
02127,738
60657,737
55119,736
01609,732
10016,731
02301,731
55104,727
19143,727
72301,725
33142,724
11436,721
07093,721
02302,719
60614,718
48213,714
01605,710
60411,708
07010,707
60629,704
72114,698
53206,696
02740,692
10461,691
12601,690
07208,690
03060,690
11354,689
01905,688
23223,687
23224,687
08103,684
60660,684
48202,683
14609,682
01020,682
02186,681
43609,680
30161,679
01852,676
10019,676
60612,671
11231,670
60626,669
19013,667
01453,667
01949,666
23803,665
44107,664
48214,664
21218,662
43605,662
08105,660
36701,660
33311,658
38118,656
43055,655
30034,655
44112,653
48206,652
07201,651
60085,649
06902,648
10306,648
04101,647
55411,646
19124,645
08861,644
44035,643
07083,642
70072,641
11372,639
02122,639
30310,638
23434,638
11367,631
11422,631
21223,629
38301,629
63901,628
60048,628
63116,627
01854,626
44505,626
07631,621
10023,620
19140,619
07728,617
10037,615
11365,609
38115,608
19120,608
021,608
29115,607
06320,606
21061,606
02148,606
63136,606
10022,605
0,605
53209,604
44870,602
142,602
45662,602
72315,601
19134,599
23234,598
68111,598
60426,598
64130,597
10804,597
02131,593
30349,592
11429,592
49022,591
01440,591
29405,585
10014,584
27893,584
31401,581
94115,579
57701,579
43701,576
48602,576
94102,575
45011,575
44120,575
30032,575
55429,572
11411,572
07501,571
10705,570
62002,569
31707,568
61832,567
30044,567
08401,566
55101,565
33138,564
30281,564
26003,563
10303,561
29720,561
02140,561
27105,560
30318,559
76112,559
07047,559
07065,557
11101,557
02720,556
67214,554
07104,554
14608,553
55443,552
48212,551
01610,549
30236,548
49442,548
07202,547
08104,547
29203,547
32301,546
10305,546
35020,545
60647,545
06450,544
49507,543
41011,542
11106,542
02132,541
31705,541
28314,540
48198,539
11357,538
01851,537
75216,535
13204,534
65802,532
19132,531
19711,531
11419,531
23669,530
10950,529
37311,529
27530,528
70058,527
71854,526
38111,525
11374,525
31794,525
44102,524
38114,524
60639,523
18102,522
45601,521
32303,519
30240,518
10028,516
11423,516
60618,516
31405,516
53210,515
37130,511
11050,511
44077,510
07740,509
44118,508
60409,508
23222,507
48221,505
19144,505
21502,505
19805,504
23225,503
06082,502
77640,502
43302,501
30274,501
02360,501
25311,500
48183,499
26101,498
43130,498
10036,498
43608,498
71107,497
10010,497
19702,497
29406,497
77520,495
60613,493
39401,492
21206,492
71301,492
30263,491
32505,491
48060,491
11358,491
06790,490
21213,489
06437,488
27834,488
13205,487
19139,486
31520,486
46601,486
25701,486
08610,485
06106,483
94110,481
28801,480
07470,480
12550,480
40508,479
02090,478
60608,477
21216,477
77088,477
71202,477
72901,476
06095,476
23464,476
13208,474
12307,474
89121,474
31061,474
12401,472
45804,472
62526,471
53212,471
89030,471
07090,470
45211,469
08302,469
99336,469
30458,469
20783,468
14301,468
64127,467
02149,467
02863,466
38401,466
13210,465
30253,465
10310,464
60804,464
07003,464
08021,463
75149,463
33313,463
30907,462
43207,461
30300,460
49201,459
01845,459
89115,459
02026,459
44507,458
62703,458
89101,458
55112,457
30093,457
75150,457
38930,456
01603,456
93308,455
07026,455
27801,455
11222,454
60643,454
01105,454
45044,454
45231,453
48505,453
27107,452
94112,452
77074,452
48504,451
02114,451
44004,451
60827,451
28645,450
19141,450
71913,450
14611,450
60610,449
04240,449
11772,448
60605,448
19104,448
23608,447
01983,447
71109,447
53218,447
23607,447
24540,446
01108,446
61364,446
31501,445
30096,445
31093,444
43604,444
95340,443
62301,443
21801,443
29605,442
49503,442
75460,441
11414,441
23704,441
30117,441
48506,441
38134,440
08332,440
01510,440
38655,440
23220,439
20019,439
08102,439
43615,438
11228,438
31907,438
11103,438
08360,437
11418,437
53208,437
02180,437
70726,437
43204,436
38122,435
